ip,time,day,traffic,type,id
106.39.41.166,10/Nov/2016:00:01:02 +0800,10,54,video,8701
113.140.11.123,10/Nov/2016:00:01:02 +0800,10,54,video,5915
125.122.216.102,10/Nov/2016:00:01:02 +0800,10,54,video,9819
116.231.219.242,10/Nov/2016:00:01:02 +0800,10,54,video,6335
61.136.143.62,10/Nov/2016:00:01:02 +0800,10,54,video,7629
39.186.247.142,10/Nov/2016:00:01:02 +0800,10,2957,video,3237
59.42.206.247,10/Nov/2016:00:01:02 +0800,10,54,video,7053
39.186.247.142,10/Nov/2016:00:01:02 +0800,10,66,video,3237
61.135.172.68,10/Nov/2016:00:01:02 +0800,10,67,video,3510
45.115.145.45,10/Nov/2016:00:01:02 +0800,10,67,video,13265
61.149.133.159,10/Nov/2016:00:01:02 +0800,10,54,video,13182
180.160.212.7,10/Nov/2016:00:01:02 +0800,10,54,video,2665
125.90.48.103,10/Nov/2016:00:01:02 +0800,10,54,video,7311
106.187.95.195,10/Nov/2016:00:01:02 +0800,10,54,video,5685
39.186.247.142,10/Nov/2016:00:01:02 +0800,10,317,video,3237
220.191.6.44,10/Nov/2016:00:01:02 +0800,10,72,video,1101
39.186.247.142,10/Nov/2016:00:01:02 +0800,10,4860,video,3237
61.142.10.231,10/Nov/2016:00:01:02 +0800,10,67,video,12551
27.17.35.94,10/Nov/2016:00:01:02 +0800,10,54,video,1412
120.198.231.154,10/Nov/2016:00:01:03 +0800,10,54,video,9817
113.93.90.94,10/Nov/2016:00:01:03 +0800,10,54,video,7475
114.249.93.42,10/Nov/2016:00:01:03 +0800,10,67,video,3221
171.8.152.203,10/Nov/2016:00:01:03 +0800,10,54,video,5914
199.30.25.88,10/Nov/2016:00:01:03 +0800,10,271,article,11325
199.30.25.88,10/Nov/2016:00:01:03 +0800,10,62,article,11325
39.186.247.142,10/Nov/2016:00:01:03 +0800,10,2311,video,3237
222.168.40.31,10/Nov/2016:00:01:03 +0800,10,54,video,2452
39.186.247.142,10/Nov/2016:00:01:03 +0800,10,307,video,3237
58.241.76.18,10/Nov/2016:00:01:03 +0800,10,2957,video,3235
49.81.162.183,10/Nov/2016:00:01:03 +0800,10,141,video,1816
125.94.93.221,10/Nov/2016:00:01:03 +0800,10,54,video,4441
101.200.101.201,10/Nov/2016:00:01:03 +0800,10,4468,article,4779
39.186.247.142,10/Nov/2016:00:01:03 +0800,10,951,video,3237
101.200.101.21,10/Nov/2016:00:01:03 +0800,10,524288,video,10506
58.241.76.18,10/Nov/2016:00:01:03 +0800,10,66,video,3235
101.200.101.21,10/Nov/2016:00:01:03 +0800,10,524288,video,10506
67.82.64.254,10/Nov/2016:00:01:03 +0800,10,54,video,2875
39.186.247.142,10/Nov/2016:00:01:03 +0800,10,72,video,3237
117.100.106.26,10/Nov/2016:00:01:03 +0800,10,54,video,4908
113.91.162.210,10/Nov/2016:00:01:03 +0800,10,54,video,10506
58.241.76.18,10/Nov/2016:00:01:03 +0800,10,951,video,3235
58.241.76.18,10/Nov/2016:00:01:03 +0800,10,5234,video,3235
139.211.44.77,10/Nov/2016:00:01:03 +0800,10,54,video,4848
39.186.247.142,10/Nov/2016:00:01:03 +0800,10,7227,video,3237
111.172.46.191,10/Nov/2016:00:01:04 +0800,10,67,video,3069
60.21.206.184,10/Nov/2016:00:01:04 +0800,10,67,video,6228
39.186.247.142,10/Nov/2016:00:01:04 +0800,10,4496,video,3237
39.186.247.142,10/Nov/2016:00:01:04 +0800,10,317,video,3237
112.64.61.203,10/Nov/2016:00:01:04 +0800,10,54,video,12532
222.171.107.65,10/Nov/2016:00:01:04 +0800,10,54,video,6837
183.60.162.108,10/Nov/2016:00:01:04 +0800,10,54,video,13168
171.214.155.3,10/Nov/2016:00:01:04 +0800,10,67,video,7558
39.186.247.142,10/Nov/2016:00:01:04 +0800,10,1092,video,3237
14.219.24.67,10/Nov/2016:00:01:04 +0800,10,54,video,773
115.195.60.166,10/Nov/2016:00:01:04 +0800,10,54,video,2769
175.20.94.66,10/Nov/2016:00:01:04 +0800,10,54,video,12299
101.81.42.203,10/Nov/2016:00:01:04 +0800,10,54,video,4017
60.191.47.90,10/Nov/2016:00:01:04 +0800,10,54,video,3664
114.249.202.36,10/Nov/2016:00:01:04 +0800,10,54,video,13330
120.198.231.150,10/Nov/2016:00:01:04 +0800,10,54,video,774
58.241.76.18,10/Nov/2016:00:01:04 +0800,10,95,video,3235
115.193.172.253,10/Nov/2016:00:01:04 +0800,10,67,video,2858
183.128.164.83,10/Nov/2016:00:01:04 +0800,10,67,video,12299
118.250.42.145,10/Nov/2016:00:01:04 +0800,10,67,video,11307
175.10.104.158,10/Nov/2016:00:01:04 +0800,10,54,video,3217
110.53.175.199,10/Nov/2016:00:01:04 +0800,10,54,video,8469
106.37.127.231,10/Nov/2016:00:01:04 +0800,10,2195,video,8199
171.216.125.79,10/Nov/2016:00:01:04 +0800,10,54,video,5219
115.193.172.253,10/Nov/2016:00:01:04 +0800,10,6589,video,2858
106.37.127.231,10/Nov/2016:00:01:04 +0800,10,349,video,8199
182.100.18.242,10/Nov/2016:00:01:05 +0800,10,54,video,8995
125.122.198.123,10/Nov/2016:00:01:05 +0800,10,54,video,10897
199.30.25.88,10/Nov/2016:00:01:05 +0800,10,5994,article,11325
115.193.172.253,10/Nov/2016:00:01:05 +0800,10,2961,video,3078
119.122.183.89,10/Nov/2016:00:01:05 +0800,10,7226,video,3244
140.207.97.98,10/Nov/2016:00:01:05 +0800,10,68,video,10936
183.128.164.83,10/Nov/2016:00:01:05 +0800,10,67,video,953
106.37.127.231,10/Nov/2016:00:01:05 +0800,10,1355,video,8199
116.23.248.47,10/Nov/2016:00:01:05 +0800,10,54,video,1034
111.112.84.51,10/Nov/2016:00:01:05 +0800,10,54,video,6843
115.193.172.253,10/Nov/2016:00:01:05 +0800,10,362,video,3078
106.37.127.231,10/Nov/2016:00:01:05 +0800,10,72,video,8199
117.135.159.4,10/Nov/2016:00:01:05 +0800,10,68,video,353
117.173.0.113,10/Nov/2016:00:01:05 +0800,10,2956,video,8135
211.162.33.107,10/Nov/2016:00:01:05 +0800,10,54,video,9815
106.37.127.231,10/Nov/2016:00:01:05 +0800,10,74,video,8199
116.23.155.253,10/Nov/2016:00:01:05 +0800,10,54,video,9661
106.37.127.231,10/Nov/2016:00:01:05 +0800,10,66,video,8199
